"tweet","date"
"good morning, this is making me lose my mind","26/9/2021 00.00.00"
"I believe eigen fly

I believe eigen touch the sky","24/9/2021 00.00.00"
"Krn Banyak di Twiter saya post nya di sini aja. ","1/7/2021 00.00.00"
"Saya kasihan kepada siapapun yang mendalilkan teori konspirasi. Apakah Anda begitu jatuh cinta terhadap teori itu sampai enggan menyerap informasi di luar yang Anda yakini? Kasihan sekali. Saya sarankan Anda cari bantuan. Enggak baik bagi Anda dan orang-orang sekitar Anda.","26/6/2021 00.00.00"
"Sejauh ini sih ini, mungkin semester depan bakal nambah lagi","24/6/2021 00.00.00"
"Masyarakat nyampein keresahan/aspirasi langsung ditodong pertanyaan:

""Lalu solusimu apa?""

Mental2 begini nih yang bikin kualitas proses pembuatan kebijakan publik kita anjlok. Selalu dituntut loncat ke solusi. Padahal definisiin masalah aja belum kelar.","17/6/2021 00.00.00"
"Kenapa nugget mekdi dijual dalam 3 pilihan
Isi 4, 6, dan 9: sudut pandang matematis 

[A Thread]

#BTSxMcD #BTSMeal","15/6/2021 00.00.00"
"Machine learning superpower: Be the one that makes better predictions.

I can teach you how to do this by putting 2+ models together.

Thread: beginner-friendly introduction to Ensembles.

• What are they?
• Why do they work? 
• Real-life examples.
• Practical tips.

↓","10/6/2021 00.00.00"
"Krn Banyak di Twiter saya post nya di sini aja. ","1/7/2021 00.00.00"
"Saya kasihan kepada siapapun yang mendalilkan teori konspirasi. Apakah Anda begitu jatuh cinta terhadap teori itu sampai enggan menyerap informasi di luar yang Anda yakini? Kasihan sekali. Saya sarankan Anda cari bantuan. Enggak baik bagi Anda dan orang-orang sekitar Anda.","26/6/2021 00.00.00"
"Sejauh ini sih ini, mungkin semester depan bakal nambah lagi","24/6/2021 00.00.00"
"Masyarakat nyampein keresahan/aspirasi langsung ditodong pertanyaan:

""Lalu solusimu apa?""

Mental2 begini nih yang bikin kualitas proses pembuatan kebijakan publik kita anjlok. Selalu dituntut loncat ke solusi. Padahal definisiin masalah aja belum kelar.","17/6/2021 00.00.00"
"Kenapa nugget mekdi dijual dalam 3 pilihan
Isi 4, 6, dan 9: sudut pandang matematis 

[A Thread]

#BTSxMcD #BTSMeal","15/6/2021 00.00.00"
"Machine learning superpower: Be the one that makes better predictions.

I can teach you how to do this by putting 2+ models together.

Thread: beginner-friendly introduction to Ensembles.

• What are they?
• Why do they work? 
• Real-life examples.
• Practical tips.

↓","10/6/2021 00.00.00"
"Yes, XGBoost is cool, but have you heard of CatBoost? by Amol Mavuduru","10/6/2021 00.00.00"
"when you learn conditional formatting","8/6/2021 00.00.00"
"Mood selepas jumatan","3/6/2021 00.00.00"
"Minpe kemarin habis belajar deep learning, tapi kok bukunya sobek terus ya.. 

Iyalah, orang belajarnya di dalem kolam renang xixixi 

#JokesnyaAnakData","4/6/2021 00.00.00"
"Satu telkom jadi slankers","31/5/2021 00.00.00"
"Truly remarkable!","23/2/2021 00.00.00"
"Newest view of sunset on MARS. HD NASA. Stunning!","20/2/2021 00.00.00"
"Order sajadah bermotif mesjid yang dateng malah motif iblis","16/2/2021 00.00.00"
"Masuk jurusan jalur peminatan 
Jalur pay2win ","17/2/2021 00.00.00"
"Truly remarkable!","23/2/2021 00.00.00"
"Newest view of sunset on MARS. HD NASA. Stunning!","20/2/2021 00.00.00"
"Order sajadah bermotif mesjid yang dateng malah motif iblis","16/2/2021 00.00.00"
"Masuk jurusan jalur peminatan 
Jalur pay2win ","17/2/2021 00.00.00"
"Ngeliat diehard fans pseudoscience nya harun yahya jadi pengen share ginian","8/2/2021 00.00.00"
"yeet!","8/2/2021 00.00.00"
"Golden ratio butt","6/2/2021 00.00.00"
"Step by step tutorial of Sci-kit Learn Pipeline by James Ho","12/1/2021 00.00.00"
"Interactive Machine Learning and Data Visualization with Streamlit by @dua_sejal","11/1/2021 00.00.00"
"poin 3 kan gara gara anda","25/11/2020 00.00.00"
"Normalise not having to eat the crust on Pizza.","25/11/2020 00.00.00"
"スーパー錯視ブラザーズ","24/11/2020 00.00.00"
"Sedang membayangkan 3 tahun kedepan","20/11/2020 00.00.00"
"A Tutorial on Scraping Images from the Web Using BeautifulSoup by Acusio Bivona","22/11/2020 00.00.00"
"Linear Regression Model with Python by Idil Ismiguzel","22/11/2020 00.00.00"
"Falcon 9’s first stage has landed on Landing Zone 4","22/11/2020 00.00.00"
"Adalah gw","22/11/2020 00.00.00"
"Mastering Word Embeddings in 10 Minutes with TensorFlow by 
@orhangaziyalcin","21/11/2020 00.00.00"
"4 Machine Learning Approaches that Every Data Scientist Should Know by 
@orhangaziyalcin
  https://buff.ly/35HfJ0d","19/11/2020 00.00.00"
"The U.S. military is buying location data about Muslims retrieved by Muslim dating and prayer apps, per 
@VICE
.

Apps include Muslim Pro (150 million downloads) and Muslim Mingle. The data is reportedly collected by a third party called X-Mode, which then sells it to contractors.","17/11/2020 00.00.00"
"Antek kapitalis :","12/10/2020 00.00.00"
"Contradiction at its finest","12/10/2020 00.00.00"
"π","11/10/2020 00.00.00"
"Update terkini dari 
@TirtoID
.

Jadi, draft paripurna *belum final* dan versi finalnya belum bisa diakses karena ""masih dirapikan"".

Kacau betul, UU tidak ada draft final sudah disahkan? 
@DPR_RI","8/10/2020 00.00.00"
"Entah kenapa kesialan maksimum selalu terjadi pas praktikum alstrukdat","8/10/2020 00.00.00"
"Uts online dirumah bener bener ga enak euy, terlalu banyak distraksi pas ngerjain","8/10/2020 00.00.00"
"Our online survey showed that all of the students had the required hardware and internet bandwidth to participate in the online courses.","6/10/2020 00.00.00"
"Financial time series are what's comes closest to perfectly generated noise. Predictable signals mean profit, and with the amount of competitive betting happening there, whenever there is an edge, the stock markets tends to remove it...
or do they?","5/10/2020 00.00.00"
"https://tirto.id/daftar-pasal-bermasalah-dan-kontroversi-omnibus-law-ruu-cipta-kerja-f5AU…","6/10/2020 00.00.00"
"Update terkini dari 
@TirtoID
.

Jadi, draft paripurna *belum final* dan versi finalnya belum bisa diakses karena ""masih dirapikan"".

Kacau betul, UU tidak ada draft final sudah disahkan? 
@DPR_RI","8/10/2020 00.00.00"
"Entah kenapa kesialan maksimum selalu terjadi pas praktikum alstrukdat","8/10/2020 00.00.00"
"Uts online dirumah bener bener ga enak euy, terlalu banyak distraksi pas ngerjain","8/10/2020 00.00.00"
"Our online survey showed that all of the students had the required hardware and internet bandwidth to participate in the online courses.","6/10/2020 00.00.00"
"Financial time series are what's comes closest to perfectly generated noise. Predictable signals mean profit, and with the amount of competitive betting happening there, whenever there is an edge, the stock markets tends to remove it...
or do they?","5/10/2020 00.00.00"
"https://tirto.id/daftar-pasal-bermasalah-dan-kontroversi-omnibus-law-ruu-cipta-kerja-f5AU…","6/10/2020 00.00.00"
"Kondisi timeline saat ini, Sad but true...","5/10/2020 00.00.00"
"malam ter hectic selalu jatuh pada malam kamis","29/9/2020 00.00.00"
"Confusion is a feeling that precedes learning something.

It means you should pay closer attention, not disengage.","27/9/2020 00.00.00"
"5 Must-Read Data Science Papers (and How to Use Them) by 
@Nicole_Janeway","26/9/2020 00.00.00"
"How to Analyze Emotions and Words of the Lyrics From your Favorite Music Artist by Cristobal Veas","25/9/2020 00.00.00"
"So tell me again should we risk getting infected to vote for people who doesn’t even care about our health (and lives) ?","24/9/2020 00.00.00"
"Mantan Istrinya Soekarno lagi viral di jepang, kirain mah apa, gataunya gara2 menang duel maen kartu Yugi-Oh ","22/9/2020 00.00.00"
"Itb! Yuk UP guys","28/7/2020 00.00.00"
"Emang bener impact dari pengajaran guru yang bagus itu jangka panjang bagi masa depan muridnya","28/7/2020 00.00.00"
"Lagi rame tentang postingan ""Haramnya Ilmu Filsafat"" nih. 

Mimin bakal ngejawab secara kontekstual pernyataan ""Tidak ada dalam Filsafat kecuali kebodohan, pemutaran kata, dan kebingungan, dan sebuah pembahasan bertele-tele tanpa penyelesaian.""

- a thread!","26/7/2020 00.00.00"
"BUKA DONASI BUKU UNTUK PERPUSTAKAAN JALANAN KELILING!

Kini telah hadir Lyceum, perpustakaan jalanan keliling yang hadir untuk membantu memberdayakan UKM seperti pengusaha kaki lima. Silakan bantu sebarkan apabila ada teman-teman yang ingin berbagian juga!","24/7/2020 00.00.00"
"ceng-cengan anak SD 10 tahun dari sekarang:
""hahaha emak lo punya onlyfans""","21/7/2020 00.00.00"
"Replying to 
@elonmusk","21/7/2020 00.00.00"
"Uhh we're in the shit part","21/7/2020 00.00.00"
"Fun fact, this is the number of milliseconds in a day.","13/7/2020 00.00.00"
"""Jangan lupa pulang buat bangun Indonesia, Kak.""

""Dulu aku ikut olimpiade tingkat provinsi (?) hadiahnya nggak sampai. Dikorupsi. Tanda tanganku dipalsukan.""","16/7/2020 00.00.00"
"I just built a *functioning* React app by describing what I wanted to GPT-3. 

I'm still in awe.","17/7/2020 00.00.00"
"Klo pernah nyontek gmn? Ya gpp akuin aja pernah salah. Wajar, ga usah hakimi diri sendiri. Jangan diulangin dan dibenarkan. Apalagi diglorifikasi, pake alasan ini itu, nyalahin sistem pendidikan segala.","20/6/2020 00.00.00"
"Pernah dengar “Jangan stres karena nilai TO karena soal TO itu sulit dan ga relevan sama UTBK.” ?","17/6/2020 00.00.00"
